Timestamp,How often do you feel anxious or worried about things in your daily life?,How often do you feel overwhelmed by responsibilities or expectations?,How often do you feel nervous when speaking in front of a group of people? ,How do you maintain the balance in your life?,How often do you feel motivated to take steps toward achieving your personal goals?”,How confident are you in overcoming challenges in life?,How often do you spend time on social media?,How often do you procrastinate(Postpone) important tasks?,How confident are you in understanding course subjects?,"How well you behave in a group of people(outside crowds, relatives, functions, etc)",How often do you feel supported by your friends or family?,Department,Year,Do you learn anything from social media that help with your studies or life ?
3/6/2026 15:59:05,Always,Sometimes,Often,Often,Extremely motivated,Not confident at all,Never,Always,Not confident at all,Neutral,Always,,,
3/6/2026 16:29:10,Rarely,Often,Often,Sometimes,Moderately motivated,Moderately confident,Often,Always,Slightly confident,Neutral,Often,,,
3/6/2026 16:39:19,Sometimes,Always,Sometimes,Always,Very motivated,Very confident,Often,Rarely,Not confident at all,Dissatisfied,Always,,,
3/6/2026 16:43:46,Often,Sometimes,Sometimes,Always,Moderately motivated,Slightly confident,Rarely,Always,Slightly confident,Neutral,Sometimes,,,
3/6/2026 16:44:15,Sometimes,Rarely,Sometimes,Sometimes,Very motivated,Very confident,Often,Rarely,Very confident,Neutral,Often,,,
3/6/2026 16:45:41,Never,Never,Never,Never,Not motivated at all,Not confident at all,Never,Always,Not confident at all,Very satisfied,Always,,,
3/6/2026 16:45:54,Sometimes,Sometimes,Often,Often,Slightly motivated,Moderately confident,Always,Sometimes,Very confident,Neutral,Sometimes,,,
3/6/2026 17:21:13,Sometimes,Always,Rarely,Always,Not motivated at all,Very confident,Rarely,Sometimes,Slightly confident,Neutral,Always,,,
3/6/2026 17:46:07,Often,Often,Always,Always,Very motivated,Slightly confident,Never,Often,Very confident,Neutral,Never,,,
3/7/2026 1:03:17,Sometimes,Sometimes,Sometimes,Sometimes,Extremely motivated,Very confident,Always,Sometimes,Very confident,Satisfied,Always,,,
3/9/2026 16:23:41,Often,Always,Often,Sometimes,Moderately motivated,Slightly confident,Always,Always,Very confident,Satisfied,Always,Data Science,III,No
3/9/2026 16:24:09,Rarely,Sometimes,Often,Often,Very motivated,Extremely confident,Often,Sometimes,Moderately confident,Satisfied,Sometimes,Data Science,III,Yes
3/9/2026 16:25:00,Often,Sometimes,Always,Often,Moderately motivated,Moderately confident,Often,Often,Moderately confident,Satisfied,Sometimes,Data Science,III,Yes
3/9/2026 16:27:43,Often,Always,Rarely,Often,Very motivated,Extremely confident,Sometimes,Rarely,Very confident,Very satisfied,Sometimes,AIML,III,Yes
3/9/2026 16:30:01,Always,Often,Always,Sometimes,Extremely motivated,Very confident,Often,Always,Moderately confident,Satisfied,Always,Data Science,III,Yes
